Treatment	HFD_control	LFD_control	LFD_control	FVT_SDT	FVT_ChP	FVT_UnT	FVT_PyT	FVT_SDT	LFD_control	FVT_SDT	FVT_ChP	FVT_ChP	FVT_PyT	HFD_control	HFD_control	LFD_control	FVT_SDT	FVT_ChP	FVT_ChP	FVT_UnT	FVT_UnT	HFD_control	LFD_control	FVT_PyT	FVT_PyT	FVT_SDT	FVT_ChP	FVT_ChP	FVT_UnT	FVT_SDT	LFD_control	FVT_PyT	FVT_ChP	FVT_UnT	FVT_SDT	FVT_PyT	HFD_control	HFD_control	HFD_control	LFD_control	FVT_PyT	LFD_control	FVT_UnT	HFD_control	FVT_UnT	FVT_UnT	FVT_PyT
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales	0.000990197	0.00362809	0.012074531	0.003069411	0.001936439	0.006428197	0.011169536	0.000368916	0.001050278	0.000860294	0.006368981	0.001976285	0.00158995	0.001378324	3.49975E-05	0.004037656	0.005388913	0.001783106	0.001986775	0.002217141	0.001703247	0.004312743	0.002329685	0.006821607	0.006905747	0.001612191	0.003279782	0.005024199	0.004482965	0.000598318	0.010931964	0.01131407	0.001854527	0.00466106	0.00078125	0.001238965	0.000122495	0.00339332	0.002560574	0.007575635	0.00620711	0.009285419	0.036021994	0.002576221	0.00299788	0.00533984	0.002442325
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Micrococcaceae|Micrococcus	0.000198039	0.000143484	0.00011955	0.000139519	5.69541E-05	0.000196782	0.000100476	0.000108505	0.00010164	3.07248E-05	0.000116648	8.12172E-05	1.9629E-05	0.000418731	0.000104992	8.50033E-05	0.00019734	0.000132784	2.96534E-05	0.000461904	0.000194041	2.31868E-05	9.22648E-05	0.000356945	0.000222215	3.83855E-05	0.000111179	0.000184374	3.32071E-05	1.75976E-05	3.78924E-05	0.000266662	9.76067E-05	0.000118215	0.000078125	9.29224E-05	0.000192493	3.81272E-05	0.000352079	6.44735E-05	0.000182027	3.599E-05	0.000202046	7.10236E-05	2.4373E-05	0.000141453	0.000132018
Bacteria|Firmicutes|Bacilli|Lactobacillales|Lactobacillaceae|Lactobacillus	0.082166551	0.05495429	0.030570594	0.027020114	0.093404716	0.023176491	0.026525554	0.056010069	0.075348963	0.123237165	0.28156495	0.266960853	0.456099715	0.131097774	0.195023361	0.038485241	0.023559415	0.264146291	0.25475195	0.04166378	0.067310595	0.115076053	0.078863298	0.149083842	0.045229223	0.057559066	0.104008005	0.24938926	0.156936973	0.361876606	0.065894924	0.162054056	0.330203412	0.030786638	0.0965	0.085287285	0.210884592	0.089903919	0.114217585	0.06104028	0.050803648	0.071944	0.020406691	0.043673085	0.221599357	0.174358158	0.302221195
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Epulopiscium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Bacilli|Turicibacterales|Turicibacteraceae|Turicibacter	0	0.004263518	0.001742012	0	0	0	0	0	0.000271039	0	0	0	0	0	0	0.001232548	0	0	0	0	0	0	3.45993E-05	0	0	0	0	0	0	0	0.001060988	0	0	0	0	0	0	0	0	0.000402959	0	0.003598999	0	0	0	0	0
Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacteriales|Enterobacteriaceae|Enterobacter	0.002039806	0.001352847	0.001024713	0.002650855	0.001708623	0.001333741	0.001088485	0.001974784	0.001016398	0.000460872	0.001516424	0.000974606	0.00078516	0.003524321	0.001434896	0.002040079	0.003870909	0.001707229	0.00053376	0.004988568	0.0050235	0.001599889	0.002248953	0.003371143	0.003555434	0.002322323	0.00589249	0.001843743	0.000664143	0.000246366	0.000757848	0.002304718	0.000702768	0.001992772	0.0010625	0.001440297	0.00106746	0.001029434	0.004609032	0.001692429	0.003294683	0.000341905	0.003088424	0.001414016	0.000658071	0.001485254	0.001402687
Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiaceae|Clostridium|perfringens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Blautia|producta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Proteobacteria|Gammaproteobacteria|Pasteurellales|Pasteurellaceae|Haemophilus|parainfluenzae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Bacilli|Lactobacillales|Streptococcaceae|Lactococcus	0.42477473	0.186938876	0.133605451	0.445320312	0.37445419	0.387266049	0.317938241	0.422169658	0.177022632	0.358773466	0.265374207	0.206643565	0.26395132	0.333728802	0.324443978	0.137790339	0.381307305	0.384562854	0.256857338	0.474791566	0.500344961	0.268387127	0.132849712	0.389981756	0.407011726	0.435425983	0.433375952	0.302696474	0.324400611	0.163815859	0.172183172	0.332488905	0.322960996	0.352619313	0.428515625	0.408905064	0.264117596	0.321507549	0.434385302	0.105768766	0.433933415	0.084288568	0.162820568	0.284398042	0.300324161	0.361075748	0.098237566
