OTU_ID,Filtered because
vOTU_80152,sample was not significant in 181 samples (1) > 0.99
vOTU_54224,sample was not significant in 181 samples (1) > 0.99
vOTU_11504,sample was not significant in 181 samples (1) > 0.99
vOTU_64104,sample was not significant in 181 samples (1) > 0.99
vOTU_862,sample was not significant in 181 samples (1) > 0.99
vOTU_101786,sample was not significant in 181 samples (1) > 0.99
vOTU_18683,sample was not significant in 181 samples (1) > 0.99
vOTU_78483,sample was not significant in 181 samples (1) > 0.99
vOTU_97641,sample was not significant in 181 samples (1) > 0.99
vOTU_3114,sample was not significant in 181 samples (1) > 0.99
vOTU_114479,sample was not significant in 181 samples (1) > 0.99
vOTU_188,sample was not significant in 181 samples (1) > 0.99
vOTU_71729,sample was not significant in 180 samples (0.994475138121547) > 0.99
vOTU_7572,sample was not significant in 181 samples (1) > 0.99
vOTU_490,sample was not significant in 181 samples (1) > 0.99
vOTU_86909,sample was not significant in 181 samples (1) > 0.99
vOTU_65773,sample was not significant in 181 samples (1) > 0.99
vOTU_44,sample was not significant in 181 samples (1) > 0.99
vOTU_1557,sample was not significant in 181 samples (1) > 0.99
vOTU_170,sample was not significant in 181 samples (1) > 0.99
vOTU_22322,sample was not significant in 180 samples (0.994475138121547) > 0.99
vOTU_64988,sample was not significant in 181 samples (1) > 0.99
vOTU_55235,sample was not significant in 181 samples (1) > 0.99
vOTU_526,sample was not significant in 181 samples (1) > 0.99
vOTU_9703,sample was not significant in 181 samples (1) > 0.99
vOTU_189,sample was not significant in 181 samples (1) > 0.99
vOTU_37971,sample was not significant in 181 samples (1) > 0.99
vOTU_56411,sample was not significant in 180 samples (0.994475138121547) > 0.99
vOTU_21958,sample was not significant in 180 samples (0.994475138121547) > 0.99
vOTU_780,sample was not significant in 181 samples (1) > 0.99
vOTU_11616,sample was not significant in 181 samples (1) > 0.99
vOTU_84396,sample was not significant in 181 samples (1) > 0.99
vOTU_50565,sample was not significant in 181 samples (1) > 0.99
vOTU_22136,sample was not significant in 181 samples (1) > 0.99
vOTU_46281,sample was not significant in 181 samples (1) > 0.99
vOTU_778,sample was not significant in 181 samples (1) > 0.99
vOTU_81872,sample was not significant in 181 samples (1) > 0.99
